Month of Period End,Region,Avg. Median Sale Price
Sep-17,"Sacramento, CA metro area",$378K
Oct-17,"Sacramento, CA metro area",$380K
Nov-17,"Sacramento, CA metro area",$380K
Dec-17,"Sacramento, CA metro area",$375K
Jan-18,"Sacramento, CA metro area",$370K
Feb-18,"Sacramento, CA metro area",$380K
Mar-18,"Sacramento, CA metro area",$394K
Apr-18,"Sacramento, CA metro area",$399K
May-18,"Sacramento, CA metro area",$409K
Jun-18,"Sacramento, CA metro area",$410K
Jul-18,"Sacramento, CA metro area",$405K
Jan-15,"Los Angeles, CA metro area",$465K
Feb-15,"Los Angeles, CA metro area",$470K
Mar-15,"Los Angeles, CA metro area",$480K
Apr-15,"Los Angeles, CA metro area",$495K
May-15,"Los Angeles, CA metro area",$494K
Jun-15,"Los Angeles, CA metro area",$507K
Jul-15,"Los Angeles, CA metro area",$505K
Aug-15,"Los Angeles, CA metro area",$510K
Sep-15,"Los Angeles, CA metro area",$499K
Oct-15,"Los Angeles, CA metro area",$499K
Nov-15,"Los Angeles, CA metro area",$496K
Dec-15,"Los Angeles, CA metro area",$510K
Jan-16,"Los Angeles, CA metro area",$500K
Feb-16,"Los Angeles, CA metro area",$500K
Mar-16,"Los Angeles, CA metro area",$518K
Apr-16,"Los Angeles, CA metro area",$530K
May-16,"Los Angeles, CA metro area",$540K
Jun-16,"Los Angeles, CA metro area",$540K
Jul-16,"Los Angeles, CA metro area",$540K
Aug-16,"Los Angeles, CA metro area",$545K
Sep-16,"Los Angeles, CA metro area",$535K
Oct-16,"Los Angeles, CA metro area",$540K
Nov-16,"Los Angeles, CA metro area",$545K
Dec-16,"Los Angeles, CA metro area",$535K
Jan-17,"Los Angeles, CA metro area",$540K
Feb-17,"Los Angeles, CA metro area",$540K
Mar-17,"Los Angeles, CA metro area",$555K
Apr-17,"Los Angeles, CA metro area",$560K
May-17,"Los Angeles, CA metro area",$577K
Jun-17,"Los Angeles, CA metro area",$585K
Jul-17,"Los Angeles, CA metro area",$589K
Aug-17,"Los Angeles, CA metro area",$590K
Sep-17,"Los Angeles, CA metro area",$589K
Oct-17,"Los Angeles, CA metro area",$577K
Nov-17,"Los Angeles, CA metro area",$588K
Dec-17,"Los Angeles, CA metro area",$585K
Jan-18,"Los Angeles, CA metro area",$575K
Feb-18,"Los Angeles, CA metro area",$595K
Mar-18,"Los Angeles, CA metro area",$601K
Apr-18,"Los Angeles, CA metro area",$610K
May-18,"Los Angeles, CA metro area",$630K
Jun-18,"Los Angeles, CA metro area",$632K
Jul-18,"Los Angeles, CA metro area",$627K
